Order,Vital Records Form,Form URL,Form Element,IG,Mapping Profile,Profile,Field,Context,Questionnaire,QuestionnaireField,Notes/Questions
1-013,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,8d. Mother’s Birthplace,FHIR,Patient-mother-vr,patient-birthPlace,,Patient-child-vr.extension,,,
1-014,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,9a. Residence of Mother - State,VRCPL,Patient-mother-vr,Patient-mother-vr,address.state,,,,
1-015,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,9b. Mother’s County,VRCPL,Patient-mother-vr,Patient-mother-vr,address.district,,,,
1-016,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,"9c. Mother’s City, Town, or Location",VRCPL,Patient-mother-vr,Patient-mother-vr,address.city,,,,
1-017,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,9d. Mother’s Street And Number,VRCPL,Patient-mother-vr,Patient-mother-vr,address.line,,,,
1-018,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,9e. Mother’s Apt. No.,VRCPL,Patient-mother-vr,Patient-mother-vr,address.line,,,,
1-019,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,9f. Mother’s Zip Code,VRCPL,Patient-mother-vr,Patient-mother-vr,address.postalCode,,,,
1-020,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,9g. Mother’s Residence Inside City Limits?,VRCPL,Patient-mother-vr,Patient-mother-vr,address.extension:withinCityLimitsIndicator,,,,
1-021,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,10a. Father’s Current Legal Name,VRCPL,RelatedPerson-father-natural-vr,RelatedPerson-father-natural-vr,name:currentLegalName,,,,"Use only RelatedPerson-father-natural-vr? Yes
Can we use :currentLegalName on relatedPerson?"
1-022,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,10b. Father’s Date Of Birth,VRCPL,RelatedPerson-father-natural-vr,RelatedPerson-father-natural-vr,birthDate,,,,Use only RelatedPerson-father-natural-vr? Yes
1-023,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,10c. Father’s Birthplace,VRCPL,Extension-relatedperson-birthplace-vr,Extension-relatedperson-birthplace-vr,,RelatedPerson-father-natural-vr.extension,,,Use only RelatedPerson-father-natural-vr? Yes
1-024,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,11. Certifier’s Name,VRCPL,Practitioner-vr,Practitioner-vr,name,Encounter-birth.participant,,,
1-024,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,11. Certifier’s Title,VRCPL,Practitioner-vr,Practitioner-vr,qualification,Encounter-birth.participant,,,
1-025,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,12. Date Certified,BFDR,Encounter-birth,Encounter-birth,participant:certifier.period.start,,,,
1-026,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,13. Date Filed By Registrar,BFDR,Extension-date-filed-by-registrar,Extension-date-filed-by-registrar,,Composition-provider-live-birth-report.extension,,,
1-027,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,14. Mother’s Mailing Address,VRCPL,Patient-mother-vr,Patient-mother-vr,address,,,,
1-028,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,15. Mother Married?,BFDR,Observation-mother-married-during-pregnancy,Observation-mother-married-during-pregnancy,,,,,"See NA tab, row 9
Keep this mapping? Yes, there used to be two different married elements (one ever married (deleted) and this one)"
1-029,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,16. Social Security Number Requested for Child?,BFDR,Observation-ssn-requested-for-child,Observation-ssn-requested-for-child,,,,,
1-030,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,17. Facility Id.,US CORE,Encounter-birth,us-core-location,identifier,Encounter-birth,,,
1-031,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,18. Mother’s Social Security Number,VRCPL,Patient-mother-vr,Patient-mother-vr,identifier:SSN,Encounter-birth,,,
1-032,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,19. Father’s Social Security Number,VRCPL,RelatedPerson-father-natural-vr,RelatedPerson-father-natural-vr,identifier:SSN,Encounter-birth,,,Use only RelatedPerson-father-natural-vr? Yes
1-033,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,20. Mother’s Education,VRCPL,Observation-education-level-vr,Observation-education-level-vr,,,,,
1-034,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,21. Mother of Hispanic Origin?,US CORE,Patient-mother-vr,us-core-ethnicity,,Patient-child-vr.extension,,,
1-035,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,22. Mother’s Race,US CORE,Patient-mother-vr,us-core-race,,Patient-child-vr.extension,,,
1-036,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,23. Father’s Education,VRCPL,Observation-education-level-vr,Observation-education-level-vr,,,,,
1-037,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,24. Father of Hispanic Origin?,US CORE,,us-core-ethnicity,,Patient-child-vr.extension,,,
1-038,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,25. Father’s Race,US CORE,,us-core-race,,Patient-child-vr.extension,,,
1-039,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,26. Place Where Birth Occurred,BFDR,Encounter-birth,Encounter-birth,location.physicalType,,,,
1-040,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,26.a. Home Birth: Planned to deliver at home?,BFDR,Observation-planned-to-deliver-at-home,Observation-planned-to-deliver-at-home,,,,,
1-041,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,27. Attendant’s Name,VRCPL,Practitioner-vr,Practitioner-vr,name,Encounter-birth,,,
1-041,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,27. Attendant’s Title,VRCPL,Practitioner-vr,Practitioner-vr,qualification,Encounter-birth,,,
1-041,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,27. Attendant’s NPI,VRCPL,Practitioner-vr,Practitioner-vr,identifier,Encounter-birth,,,
1-042,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,28. Mother Transferred for Maternal Medical or Fetal Indications for Delivery?,BFDR,Encounter-maternity,Encounter-maternity,"hospitalization.admitSource (Y if present, N if not present)",,,,
1-043,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,29a. Date Of First Prenatal Care Visit,BFDR,Observation-date-of-first-prenatal-care-visit,Observation-date-of-first-prenatal-care-visit,,,,,
1-044,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,29b. Date Of Last Prenatal Care Visit,not implemented,not implemented,not implemented,,,,,"See NA tab, row 10"
1-045,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,30. Total Number Of Prenatal Visits For This Pregnancy,VRCPL,Observation-number-prenatal-visits,Observation-number-prenatal-visits-vr,,,,,
1-046,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,31. Mother’s Height,VRCPL,Observation-mother-height,Observation-mother-height-vr,,,,,
1-047,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,32. Mother’s Prepregnancy Weight,VRCPL,Observation-mother-prepregnancy-weight,Observation-mother-prepregnancy-weight-vr,,,,,
1-048,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,33. Mother’s Weight At Delivery,VRCPL,Observation-mother-delivery-weight,Observation-mother-delivery-weight-vr,,,,,
1-049,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,34. Did Mother Get WIC Food For Herself During This Pregnancy?,BFDR,Observation-mother-received-wic-food,Observation-mother-received-wic-food,,,,,
1-050,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,35. Number of Previous Live Births,VRCPL,Observation-number-births-now-dead,Observation-number-births-now-dead-vr,,,,,
1-051,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,36. Number of Other Pregnancy Outcomes,VRCPL,Observation-number-other-pregnancy-outcomes,Observation-number-other-pregnancy-outcomes-vr,,,,,
1-052,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,37. Cigarette Smoking Before And During Pregnancy,BFDR,Observation-cigarette-smoking-before-during-pregnancy,Observation-cigarette-smoking-before-during-pregnancy,,,,,
1-053,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,38. Principal Source of Payment for This Delivery,BFDR,Coverage-principal-payer-for-delivery,Coverage-principal-payer-for-delivery,,,,,
1-054,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,39. Date Last Normal Menses Began,VRCPL,Observation-last-menstrual-period,Observation-last-menstrual-period-vr,,,,,
1-055,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,40. Mother’s Medical Record Number,VRCPL,Patient-mother-vr,Patient-mother-vr,identifier:MRN,,,,
1-056,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,41.1. Risk factors in this pregnancy: Diabetes - Prepregnancy,VRCPL,Condition-prepregnancy-diabetes,Condition-prepregnancy-diabetes-vr,,,,,
1-057,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,41.2. Risk factors in this pregnancy: Diabetes - Gestational,VRCPL,Condition-gestational-diabetes,Condition-gestational-diabetes-vr,,,,,
1-058,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,41.3. Risk factors in this pregnancy: Hypertension - Prepregnancy,VRCPL,Condition-prepregnancy-hypertension,Condition-prepregnancy-hypertension-vr,,,,,
1-059,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,41.4. Risk factors in this pregnancy: Hypertension - Gestational,VRCPL,Condition-gestational-hypertension,Condition-gestational-hypertension-vr,,,,,
1-060,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,41.5. Risk factors in this pregnancy: Eclampsia,VRCPL,Condition-eclampsia-hypertension,Condition-eclampsia-hypertension-vr,,,,,
1-061,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,41.6. Risk factors in this pregnancy: Previous preterm births,VRCPL,Observation-previous-preterm-birth,Observation-previous-preterm-birth-vr,,,,,
1-062,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,41.7. Risk factors in this pregnancy: Other previous poor pregnancy outcome,not implemented,not implemented,not implemented,,,,,"See NA tab, row 18"
1-063,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,41.8. Risk factors in this pregnancy: Pregnancy resulted from infertility treatment,VRCPL,Procedure-infertility-treatment,Procedure-infertility-treatment-vr,,,,,
1-064,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,"41.9. Risk factors in this pregnancy: Fertility-enhancing drugs, artificial insemination or intrauterine insemination",VRCPL,Procedure-artificial-insemination,Procedure-artificial-insemination-vr,,,,,
1-065,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,41.10. Risk factors in this pregnancy: Assisted reproductive technology,VRCPL,Procedure-assisted-fertilization,Procedure-assisted-fertilization-vr,,,,,
1-066,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,41.11. Risk factors in this pregnancy: previous cesarean delivery,VRCPL,Observation-previous-cesarean,Observation-previous-cesarean-vr,,,,,
1-067,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,41.12. Risk factors in this pregnancy: None of the above,VRCPL,Observation-none-of-specified-pregnancy-risk-factors,Observation-none-of-specified-pregnancy-risk-factors-vr,,,,,
1-068,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,42. Infections present and/or treated during this pregnancy,BFDR,Condition-infection-present-during-pregnancy,Condition-infection-present-during-pregnancy,,,,,
1-069,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,43. Obstetric Procedures,BFDR,Procedure-obstetric,Procedure-obstetric,,,,,"Note: value set:  Obstetric Procedures (NCHS) (required) correctly reflects deletions noted in NA tab, rows 14 & 15"
1-070,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,44. Onset of Labor,not implemented,not implemented,not implemented,,,,,"See NA tab, rows 11, 12, 13"
1-071,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,45.1. Characteristics of Labor and Delivery: Induction of labor,BFDR,Procedure-induction-of-labor,Procedure-induction-of-labor,,,,,
1-072,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,45.2. Characteristics of Labor and Delivery: Augmentation of labor,BFDR,Procedure-augmentation-of-labor,Procedure-augmentation-of-labor,,,,,
1-073,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,45.3. Characteristics of Labor and Delivery: Non-vertex presentation,not implemented,not implemented,not implemented,,,,,"See NA tab, row 61"
1-074,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,45.4. Characteristics of Labor and Delivery: Steroids for fetal lung maturation,BFDR,Observation-steroids-fetal-lung-maturation,Observation-steroids-fetal-lung-maturation,,,,,
1-075,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,45.5. Characteristics of Labor and Delivery: Antibiotics received by the mother during labor,BFDR,Observation-antibiotics-during-labor,Observation-antibiotics-during-labor,,,,,
1-076,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,45.6. Characteristics of Labor and Delivery: Clinical chorioamnionitis,BFDR,Condition-chorioamnionitis,Condition-chorioamnionitis,,,,,
1-077,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,45.7. Characteristics of Labor and Delivery: Moderate/heavy meconium staining of the amniotic fluid,not implemented,not implemented,not implemented,,,,,"See NA tab, row 19"
1-078,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,"45.8. Characteristics of Labor and Delivery: Fetal intolerance of labor such that one or more of the following actions was taken: in-utero resuscitative measures, further fetal assessment, or operative delivery",not implemented,not implemented,not implemented,,,,,"See NA tab, row 20"
1-079,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,45.9. Characteristics of Labor and Delivery: Epidural or spinal anesthesia during labor,BFDR,Procedure-epidural-or-spinal-anesthesia,Procedure-epidural-or-spinal-anesthesia,,,,,
1-080,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,45.10. Characteristics of Labor and Delivery: None of the above,BFDR,Observation-none-of-specified-characteristics-labor-delivery,Observation-none-of-specified-characteristics-labor-delivery,,,,,
1-081,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,46.A. Method Of Delivery: Was delivery with forceps attempted but unsuccessful?,not implemented,not implemented,not implemented,,,,,"See NA tab, row 62"
1-082,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,46.B. Method Of Delivery: Was delivery with vacuum extraction attempted but unsuccessful?,not implemented,not implemented,not implemented,,,,,"See NA tab, row 63"
1-083,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,46.C. Fetal presentation at birth,BFDR,Observation-fetal-presentation,Observation-fetal-presentation,,,,,
1-084,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,46.D. Final route and method of delivery,BFDR,Procedure-final-route-method-delivery,Procedure-final-route-method-delivery,,,,,
1-085,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,"46.D.1. If cesarean, was a trial of labor attempted?",BFDR,Observation-labor-trial-attempted,Observation-labor-trial-attempted,,,,,
1-086,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,47.1. Maternal Morbidity: Maternal transfusion,BFDR,Procedure-blood-transfusion,Procedure-blood-transfusion,,,,,
1-087,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,47.2. Maternal Morbidity: Third or fourth degree perineal laceration,BFDR,Condition-perineal-laceration,Condition-perineal-laceration,,,,,
1-088,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,47.3. Maternal Morbidity: Ruptured uterus,BFDR,Condition-ruptured-uterus,Condition-ruptured-uterus,,,,,
1-089,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,47.4. Maternal Morbidity: Unplanned hysterectomy,BFDR,Procedure-unplanned-hysterectomy,Procedure-unplanned-hysterectomy,,,,,
1-090,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,47.5. Maternal Morbidity: Admission to intensive care unit,BFDR,Observation-icu-admission,Observation-icu-admission,,,,,
1-091,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,47.6. Maternal Morbidity: Unplanned operating room procedure following delivery,not implemented,not implemented,not implemented,,,,,"See NA tab, row 16
Also removed for FD."
1-092,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,47.7. Maternal Morbidity: None of the above,BFDR,Observation-none-of-specified-maternal-morbidities,Observation-none-of-specified-maternal-morbidities,,,,,
1-093,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,48. Newborn Medical Record Number,VRCPL,Patient-child-vr,Patient-child-vr,identifier:MRN,,,,
1-094,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,49. Birthweight,VRCPL,Observation-birth-weight,Observation-birth-weight-vr,,,,,
1-095,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,50. Obstetric Estimate of Gestation,VRCPL,Observation-gestational-age-at-delivery,Observation-gestational-age-at-delivery-vr,,,,,
1-096,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,51. Apgar Score:,VRCPL,Observation-apgar-score,Observation-apgar-score-vr,,,,,
1-097,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,52. Plurality,FHIR,Patient-child-vr,patient-multipleBirthTotal,,Patient-child-vr.multipleBirth[x].extension,,,
1-098,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,"53. If Not Single Birth - Born First, Second, Third, etc. (Specify)",VRCPL,Patient-child-vr,Patient-child-vr,multipleBirthInteger,,,,Final decision on plurality total and birth order?
1-099,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,54.1. Abnormal Conditions of the Newborn: Assisted ventilation required immediately following delivery,BFDR,Procedure-assisted-ventilation-following-delivery,Procedure-assisted-ventilation-following-delivery,,,,,
1-100,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,54.2. Abnormal Conditions of the Newborn: Assisted ventilation required for more than six hours,BFDR,Procedure-assisted-ventilation-more-than-six-hours,Procedure-assisted-ventilation-more-than-six-hours,,,,,
1-101,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,54.3. Abnormal Conditions of the Newborn: NICU admission,BFDR,Observation-nicu-admission,Observation-nicu-admission,,,,,
1-102,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,54.4. Abnormal Conditions of the Newborn: Newborn given surfactant replacement therapy,BFDR,Procedure-surfactant-replacement-therapy,Procedure-surfactant-replacement-therapy,,,,,
1-103,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,54.5. Abnormal Conditions of the Newborn: Antibiotics received by the newborn for suspected neonatal sepsis,BFDR,Procedure-antibiotic-suspected-neonatal-sepsis,Procedure-antibiotic-suspected-neonatal-sepsis,,,,,
1-104,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,54.6 Abnormal Conditions of the Newborn: Seizure or serious neurologic dysfunction,BFDR,Condition-seizure,Condition-seizure,,,,,
