sep=|
Flow|Field #|Beginning Location|Length|Contents|Name|Code Structure Description|IJE Only|VRDR Profile|Field|Encoding|Comments
Mortality|29|230|1|Marital Status|MARITAL|"M = Married
A = Married but Separated
W = Widowed
D = Divorced
S = Never Married
U = Not Classifiable"||Decedent|maritalStatus|codeable| [MaritalStatusVS]
Mortality|30|231|1|Marital Status--Edit Flag|MARITAL_BYPASS|"0 = Edit Passed
1 = Edit Failed| Data Queried| and Verified
2 = Edit Failed| Data Queried| but not Verified
4 = Edit Failed| Query Needed"||Decedent|maritalStatus.extension[ BypassEditFlag] |codeable|[EditBypass0124VS]
Mortality|31|232|1|Place of Death|DPLACE|"1 = Inpatient
2 = Emergency Room/Outpatient
3 = Dead on Arrival
4 = Decedent's Home
5 = Hospice Facility
6 = Nursing Home/Long Term Care Facility
7 = Other
9 = Unknown"||DeathDate|component[placeOfDeath].value|codeable|[PlaceOfDeathVS]
Mortality|32|233|3|County of Death Occurrence|COD|"NCHS Instruction Manual: Part 8
Variable description (""Contents"") edited; same as NCHS ""Facility Name--County"""||DeathLocation|address.district.extension[countyCode]|integer|see [CountyCodes]
Mortality|33|236|1|Method of Disposition|DISP|"B = Burial
C = Cremation
D = Donation
E = Entombment
R = Removal from state
O = Other
U = Unknown"||DecedentDispositionMethod|value|codeable|[MethodOfDispositionVS]
Mortality|34|237|2|Date of Death--Month|DOD_MO|"01-12| 99"||DeathDate|value|dateTime|See [PartialDatesAndTimes]
Mortality|35|239|2|Date of Death--Day|DOD_DY|"01-31 (based on month)| 99"||DeathDate|value|dateTime|See [PartialDatesAndTimes]
Mortality|36|241|4|Time of Death|TOD|"0000-2359| 9999"||DeathDate|value|dateTime|See [PartialDatesAndTimes]
Mortality|37|245|1|Decedent's Education|DEDUC|"1 = 8th grade or less
2 = 9th through 12th grade; no diploma
3 = High School Graduate or GED Completed
4 = Some college credit| but no degree
5 = Associate Degree
6 = Bachelor's Degree
7 = Master's Degree
8 = Doctorate Degree or Professional Degree
9 = Unknown"||DecedentEducationLevel|value|codeable|[EducationLevelVS]
Mortality|38|246|1|Decedent's Education--Edit Flag|DEDUC_BYPASS|"0 = Edit Passed
1 = Edit Failed| Data Queried| and Verified
2 = Edit Failed| Data Queried| but not Verified
3 = Edit Failed| Review Needed
4 = Edit Failed| Query Needed"||DecedentEducationLevel|value.extension[ByPassEdit].value|codeable|[EditBypass01234VS]
Mortality|39|247|1|Decedent of Hispanic Origin?--Mexican|DETHNIC1|"N = No| Not Mexican
H = Yes| Mexican
U = Unknown"||InputRaceAndEthnicity|component[ HispanicMexican].valueCoding|codeable|[HispanicNoUnknownVS]
Mortality|40|248|1|Decedent of Hispanic Origin?--Puerto Rican|DETHNIC2|"N = No| Not Puerto Rican
H = Yes| Puerto Rican
U = Unknown"||InputRaceAndEthnicity|component[ HispanicPuertoRican].valueCoding|codeable|[HispanicNoUnknownVS]
Mortality|41|249|1|Decedent of Hispanic Origin?--Cuban|DETHNIC3|"N = No| Not Cuban
H = Yes| Cuban
U = Unknown"||InputRaceAndEthnicity|component[ HispanicCuban ].valueCoding|codeable|[HispanicNoUnknownVS]
Mortality|42|250|1|Decedent of Hispanic Origin?--Other|DETHNIC4|"N = No| Not other Hispanic
H = Yes| other Hispanic
U = Unknown"||InputRaceAndEthnicity|component[ HispanicOther ].valueCoding|codeable|[HispanicNoUnknownVS]
Mortality|43|251|20|"Decedent of Hispanic Origin?--Other| Literal"|DETHNIC5|Literal; Blank ||InputRaceAndEthnicity|component[ HispanicLiteral ].valueString|string|-
Mortality|44|271|1|Decedent's Race--White|RACE1|"Y = Yes| box for race checked
N = No| box for race not checked"||InputRaceAndEthnicity|component[ White].valueBoolean|boolean|-
Mortality|45|272|1|Decedent's Race--Black or African American|RACE2|"Y| N"||InputRaceAndEthnicity|component[ BlackOrAfricanAmerican].valueBoolean|boolean|-
Mortality|46|273|1|Decedent's Race--American Indian or Alaska Native|RACE3|"Y| N"||InputRaceAndEthnicity|component[ AmericanIndianOrAlaskanNative].valueBoolean|boolean|-
Mortality|47|274|1|Decedent's Race--Asian Indian|RACE4|"Y| N"||InputRaceAndEthnicity|component[ AsianIndian].valueBoolean|boolean|-
Mortality|48|275|1|Decedent's Race--Chinese|RACE5|"Y| N"||InputRaceAndEthnicity|component[ Chinese].valueBoolean|boolean|-
Mortality|49|276|1|Decedent's Race--Filipino|RACE6|"Y| N"||InputRaceAndEthnicity|component[ Filipino].valueBoolean|boolean|-
Mortality|50|277|1|Decedent's Race--Japanese|RACE7|"Y| N"||InputRaceAndEthnicity|component[ Japanese].valueBoolean|boolean|-
Mortality|51|278|1|Decedent's Race--Korean|RACE8|"Y| N"||InputRaceAndEthnicity|component[ Korean].valueBoolean|boolean|-
Mortality|52|279|1|Decedent's Race--Vietnamese|RACE9|"Y| N"||InputRaceAndEthnicity|component[ Vietnamese].valueBoolean|boolean|-
Mortality|53|280|1|Decedent's Race--Other Asian|RACE10|"Y| N"||InputRaceAndEthnicity|component[ OtherAsian].valueBoolean|boolean|-
Mortality|54|281|1|Decedent's Race--Native Hawaiian|RACE11|"Y| N"||InputRaceAndEthnicity|component[ NativeHawaiian].valueBoolean|boolean|-
Mortality|55|282|1|Decedent's Race--Guamanian or Chamorro|RACE12|"Y| N"||InputRaceAndEthnicity|component[ GuamanianOrChamorro].valueBoolean|boolean|-
Mortality|56|283|1|Decedent's Race--Samoan|RACE13|"Y| N"||InputRaceAndEthnicity|component[ Samoan].valueBoolean|boolean|-
Mortality|57|284|1|Decedent's Race--Other Pacific Islander|RACE14|"Y| N"||InputRaceAndEthnicity|component[ OtherPacificIslander].valueBoolean|boolean|-
Mortality|58|285|1|Decedent's Race--Other|RACE15|"Y| N"||InputRaceAndEthnicity|component[ OtherRace].valueBoolean|boolean|-
Mortality|59|286|30|Decedent's Race--First American Indian or Alaska Native Literal|RACE16|Literal; Blank ||InputRaceAndEthnicity|component[ AmericanIndianorAlaskanNativeLiteral1].valueString|string|-
Mortality|60|316|30|Decedent's Race--Second American Indian or Alaska Native Literal|RACE17|Literal; Blank ||InputRaceAndEthnicity|component[ AmericanIndianorAlaskanNativeLiteral2].valueString|string|-
Mortality|61|346|30|Decedent's Race--First Other Asian Literal|RACE18|Literal; Blank ||InputRaceAndEthnicity|component[ OtherAsianLiteral1].valueString|string|-
Mortality|62|376|30|Decedent's Race--Second Other Asian Literal|RACE19|Literal; Blank ||InputRaceAndEthnicity|component[ OtherAsianLiteral2].valueString|string|-
Mortality|63|406|30|Decedent's Race--First Other Pacific Islander Literal|RACE20|Literal; Blank||InputRaceAndEthnicity|component[ OtherPacificIslandLiteral1].valueString|string|-
Mortality|64|436|30|Decedent's Race--Second Other Pacific Islander Literal|RACE21|Literal; Blank ||InputRaceAndEthnicity|component[ OtherPacificIslandLiteral2].valueString|string|-
Mortality|65|466|30|Decedent's Race--First Other Literal|RACE22|Literal; Blank ||InputRaceAndEthnicity|component[ OtherRaceLiteral1].valueString|string|-
Mortality|66|496|30|Decedent's Race--Second Other Literal|RACE23|Literal; Blank||InputRaceAndEthnicity|component[ OtherRaceLiteral2].valueString|string|-
Mortality|67|526|3|First Edited Code|RACE1E|Appendix I (Values for fields 67 - 82 returned from NCHS)||CodedRaceAndEthnicity|component[FirstEditedCode].value||-
Mortality|68|529|3|Second Edited Code|RACE2E|Appendix I||CodedRaceAndEthnicity|component[SecondEditedCode].value|codeable|[RaceCodeVS]
Mortality|69|532|3|Third Edited Code|RACE3E|Appendix I||CodedRaceAndEthnicity|component[ThirdEditedCode].value|codeable|[RaceCodeVS]
Mortality|70|535|3|Fourth Edited Code|RACE4E|Appendix I||CodedRaceAndEthnicity|component[FourthEditedCode].value|codeable|[RaceCodeVS]
Mortality|71|538|3|Fifth Edited Code|RACE5E|Appendix I||CodedRaceAndEthnicity|component[FifthEditedCode].value|codeable|[RaceCodeVS]
Mortality|72|541|3|Sixth Edited Code|RACE6E|Appendix I||CodedRaceAndEthnicity|component[SixthEditedCode].value|codeable|[RaceCodeVS]
Mortality|73|544|3|Seventh Edited Code|RACE7E|Appendix I||CodedRaceAndEthnicity|component[SeventhEditedCode].value|codeable|[RaceCodeVS]
Mortality|74|547|3|Eighth Edited Code|RACE8E|Appendix I||CodedRaceAndEthnicity|component[EighthEditedCode].value|codeable|[RaceCodeVS]
Mortality|75|550|3|First American Indian Code|RACE16C|Appendix I||CodedRaceAndEthnicity|component[FirstAmericanIndianCode].value|codeable|[RaceCodeVS]
Mortality|76|553|3|Second American Indian Code|RACE17C|Appendix I||CodedRaceAndEthnicity|component[SecondAmericanIndianCode].value|codeable|[RaceCodeVS]
Mortality|77|556|3|First Other Asian Code|RACE18C|Appendix I||CodedRaceAndEthnicity|component[FirstOtherAsianCode].value|codeable|[RaceCodeVS]
Mortality|78|559|3|Second Other Asian Code|RACE19C|Appendix I||CodedRaceAndEthnicity|component[SecondOtherAsianCode].value|codeable|[RaceCodeVS]
Mortality|79|562|3|First Other Pacific Islander Code|RACE20C|Appendix I||CodedRaceAndEthnicity|component[FirstOtherPacificIslanderCode].value|codeable|[RaceCodeVS]
Mortality|80|565|3|Second Other Pacific Islander Code|RACE21C|Appendix I||CodedRaceAndEthnicity|component[SecondOtherPacificIslanderCode].value|codeable|[RaceCodeVS]
Mortality|81|568|3|First Other Race Code|RACE22C|Appendix I||CodedRaceAndEthnicity|component[FirstOtherRaceCode].value|codeable|[RaceCodeVS]
Mortality|82|571|3|Second Other Race Code|RACE23C|Appendix I||CodedRaceAndEthnicity|component[SecondOtherRaceCode].value|codeable|[RaceCodeVS]
Mortality|83|574|1|Decedent's Race--Missing|RACE_MVR|"R = Refused
S = Sought| but Unknown
C = Not Obtainable"||InputRaceAndEthnicity|component[ MissingValueReason].valueCoding|codeable|[RaceMissingValueReasonVS]
Mortality|NA|NA|NA|Race Recode 40  (No longer provided as of 2022)|*NO IJE MAPPING*|||CodedRaceAndEthnicity|component[RaceRecode40].value|codeable|[RaceRecode40VS]
Mortality|84|575|40|Occupation -- Literal |OCCUP|||DecedentUsualWork|value.text|string(40)|-
Mortality|85|615|3|Occupation -- Code |OCCUPC|"Refer to NCHS Instruction Manual Part 19| Industry and Occupation Coding for Death Certificates| 2003. Leave blank if using a coding system other than this."||<not implemented>|||-
Mortality|86|618|40|Industry -- Literal |INDUST|||DecedentUsualWork|"component [ odh-UsualIndustry	].value.text"|string(40)|-
Mortality|87|658|3|Industry -- Code |INDUSTC|"Refer to NCHS Instruction Manual Part 19| Industry and Occupation Coding for Death Certificates| 2003. Leave blank if using a coding system other than this."||<not implemented>|||-
Mortality|88|661|6|Infant Death/Birth Linking - birth certificate number|BCNO|"Left 0 filled; 000001-999999| BLANK"||BirthRecordIdentifier|value|string(6)|-
Mortality|89|667|4|Infant Death/Birth Linking - year of birth|IDOB_YR|"4 digit year = year of death or (year of death - 1)
9999 = unknown
Blank"||BirthRecordIdentifier|component[birthYear].value|dateTime|YYYY component
Mortality|90|671|2|"Infant Death/Birth Linking - State| U.S. Territory or Canadian Province of Birth - code"|BSTATE|"NCHS Instruction Manual: Part 8
   ZZ = UNKNOWN OR BLANK U.S. STATE OR TERRITORY OR UNKNOWN/ UNCLASSIFIABLE COUNTRY
   XX = COUNTRY IS CANADA BUT UNKNOWN CANADIAN PROVINCE OR ANY COUNTRY THAT IS KNOWN| BUT NOT U.S. OR CANADA                                                                                                                                                                                                                           YC = NEW YORK CITY
For U.S. Territories:
   MP  NORTHERN MARIANAS
   AS  AMERICAN SAMOA
   GU  GUAM
   VI   VIRGIN ISLANDS
   PR  PUERTO RICO
For Canadian Provinces:
   AB  ALBERTA
   BC  BRITISH COLUMBIA
   MB  MANITOBA
   NB  NEW BRUNSWICK
   NL  NEWFOUNDLAND AND LABRADOR
   NS  NOVA SCOTIA
   NT  NORTHWEST TERRITORIES
   NU  NUNAVUT
   ON  ONTARIO
   PE  PRINCE EDWARD ISLAND
   QC  QUEBEC
   SK  SASKATCHEWAN
   YT  YUKON"||BirthRecordIdentifier|component[birthJurisdiction].value|string|[JurisdictionsProvincesVS]
Mortality|91|673|4|Receipt date -- Year|R_YR|4 digit year; >=year of death||CodingStatusValues|parameter[receiptDate].value|date|See [PartialDatesAndTimes]
Mortality|92|677|2|Receipt date -- Month|R_MO|01-12||CodingStatusValues|parameter[receiptDate].value|date|See [PartialDatesAndTimes]
Mortality|93|679|2|Receipt date -- Day|R_DY|01-31 (based on month)||CodingStatusValues|parameter[receiptDate].value|date|See [PartialDatesAndTimes]
Mortality|94|681|4|Occupation -- 4 digit Code |OCCUPC4|4 digit code ||DecedentUsualWork|valueCodeableConcept.coding[occupationCDCCensus2018] |codeable|[PHVS_Occupation_CDC_Census2018VS]
Mortality|95|685|4|Industry -- 4 digit Code|INDUSTC4|4 digit code ||DecedentUsualWork|component[odh-UsualIndustry].valueCodeableConcept.coding[industryCDCCensus2018] |codeable|[PHVS_Industry_CDC_Census2018VS]
Mortality|96|689|4|Date of Registration--Year|DOR_YR|"4 digit year; >=year of death| Blank (Date of Registration must be a valid date or entirely blank; no portions of the date may be unknown)"||DeathCertificate|date|dateTime|-
Mortality|97|693|2|Date of Registration--Month|DOR_MO|"01-12| Blank"||DeathCertificate|date|dateTime|-
Mortality|98|695|2|Date of Registration--Day|DOR_DY|"01-31 (based on month)| Blank"||DeathCertificate|date|dateTime|-
Mortality|99|697|4|FILLER 2 for expansion||BLANK||<not implemented>|||-
Mortality|100|701|1|Manner of Death|MANNER|||MannerOfDeath|value|codeable|[MannerOfDeathVS]
Mortality|NA|NA|NA|coder status |"CS (TRX Field| no IJE Mapping)"|"Numeric| Valid codes: 0 -9 "||CodingStatusValues|parameter[coderStatus].value|integer|-
Mortality|NA|NA|NA|shipment number |"SHIP (TRX Field| no IJE Mapping)"|NCHS ID Information. Alpha\Numeric. Usually month of death or month of receipts||CodingStatusValues|parameter[shipmentNumber].value|string|-
Mortality|101|702|1|Intentional Reject |INT_REJ|||CodingStatusValues|parameter[intentionalReject].value|codeable|[IntentionalRejectVS]
Mortality|102|703|1|Acme System Reject Codes|SYS_REJ|||CodingStatusValues|parameter[acmeSystemReject].value |codeable|[ACMESystemRejectVS]
Mortality|103|704|1|Place of Injury (computer generated)|INJPL|||PlaceOfInjury|value|codeable|[PlaceOfInjuryVS]
Mortality|104|705|5|Manual Underlying Cause |MAN_UC|||ManualUnderlyingCauseOfDeath|value|codeable|[ICD10CausesOfDeathVS]
Mortality|105|710|5|ACME Underlying Cause|ACME_UC|||AutomatedUnderlyingCauseOfDeath|value|codeable|[ICD10CausesOfDeathVS]
Mortality|106|715|160|Entity-axis codes|EAC|||EntityAxisCauseOfDeath|"Each entry is a 4-tuble (value| component[position]| component[lineNumber]| component[e-code-indicator]  "|codeable|[ICD10CausesOfDeathVS]
Mortality|107|875|1|Transax conversion flag: Computer Generated|TRX_FLG|||CodingStatusValues|parameter[transaxConversion].value |codeable|[TransaxConversionVS]
Mortality|108|876|100|Record-axis codes|RAC|||RecordAxisCauseOfDeath|"Each entry is a 3-tuple (value| component[position]| component[WouldBeUnderlyingCauseOfDeathWithoutPregnancy])"|codeable|[ICD10CausesOfDeathVS]
Mortality|109|976|1|Was Autopsy performed|AUTOP|Y = Yes N = No.  U = Unknown||AutopsyPerformedIndicator|value|codeable|[YesNoUnknownVS]
Mortality|110|977|1|Were Autopsy Findings Available to Complete the Cause of Death?|AUTOPF|Y = Yes N = No.  U = Unknown X = Not Applicable||AutopsyPerformedIndicator|component[ autopsyPerformedIndicator ].value|codeable|[YesNoUnknownNotApplicableVS]
Mortality|111|978|1|Did Tobacco Use Contribute to Death?|TOBAC|||TobaccoUseContributedToDeath|value|codeable|[ContributoryTobaccoUseVS]
Mortality|112|979|1|Pregnancy|PREG|||DecedentPregnancyStatus|value|codeable|[PregnancyStatusVS]
Mortality|113|980|1|If Female--Edit Flag: From EDR only|PREG_BYPASS|||DecedentPregnancyStatus|value.extension[BypassEditFlag].value|codeable|[EditBypass012VS]
Mortality|114|981|2|Date of injury--month|DOI_MO|||InjuryIncident|effective|dateTime|See [PartialDatesAndTimes]
Mortality|115|983|2|Date of injury--day|DOI_DY|||InjuryIncident|effective|dateTime|See [PartialDatesAndTimes]
Mortality|116|985|4|Date of injury--year|DOI_YR|||InjuryIncident|effective|dateTime|See [PartialDatesAndTimes]
Mortality|117|989|4|Time of injury|TOI_HR|||InjuryIncident|effective|dateTime|See [PartialDatesAndTimes]
Mortality|118|993|1|Injury at work|WORKINJ|Y = Yes N = No.  U = Unknown X = Not Applicable||InjuryIncident|component[InjuryAtWork].value|codeable|[YesNoUnknownNotApplicableVS]
Mortality|119|994|30|Title of Certifier|CERTL|||DeathCertification|"performer.function (note that if value is ""OTH"" then performed.function.text should contain 'Full Text for Other Individual Legally Allowed to Certify')"|codeable|[CertifierTypesVS]
Mortality|120|1024|1|Activity at time of death (computer generated)|INACT|||ActivityAtTimeOfDeath|value|codeable|[ActivityAtTimeOfDeathVS]
Mortality|121|1025|12|Auxiliary State file number|AUXNO2|||DeathCertificateDocument|identifier.extension[auxiliaryStateIdentifier2].value|string(12)|-
Mortality|121|1025|12|Auxiliary State file number|AUXNO2|||CauseOfDeathCodedContentBundle|identifier.extension[auxiliaryStateIdentifier2].value|string(12)|-
Mortality|121|1025|12|Auxiliary State file number|AUXNO2|||DemographicCodedContentBundle|identifier.extension[auxiliaryStateIdentifier2].value|string(12)|-
Mortality|||||||||||
Mortality|122|1037|30|State Specific Data |STATESP|Possible use for future filler unless two neighboring states wish to use for some specific information that they both collect. This would be a non-standard field||DeathCertificate|extension[ stateSpecificField]|string(30)|-
Mortality|123|1067|2|Surgery Date--month|SUR_MO|"01-12| 99 or Blank"||SurgeryDate|value|dateTime|See [PartialDatesAndTimes]
Mortality|124|1069|2|Surgery Date--day|SUR_DY|"01-31 (based on month)| 99 or Blank"||SurgeryDate|value|dateTime|See [PartialDatesAndTimes]
Mortality|125|1071|4|Surgery Date--year|SUR_YR|"4 digit year; <=year of death| 9999 or Blank"||SurgeryDate|value|dateTime|See [PartialDatesAndTimes]
Mortality|126|1075|1|Time of Injury Unit|TOI_UNIT|"A| P| M or Blank (AM| PM or Military)"||InjuryIncident|effective|implicit|
Mortality|127|1076|5|For possible future change in transax|BLANK1|Blank||<not implemented>|||-
Mortality|128|1081|1|Decedent ever served in Armed Forces?|ARMEDF|Y=yes; N=no; U=unknown|I|DecedentMilitaryService|value|codeable|[YesNoUnknownVS]
Mortality|129|1082|30|Death Institution name|DINSTI|"Facility name literal; if Place of Death (DPLACE)=4 (decedent's home)| enter ""Home"""|I|DeathLocation|name|string |-
Mortality|130|1112|50|Long String address for place of death|ADDRESS_D|"The item is made up of one long string that includes Street number| Pre Directional| Street name| Street designator| Post Directional| and Unit or Apartment Number. Jurisdiction should use version of Place of Death address that's used in their system versus reprogramming."|I|DeathLocation|address.line|string |-
Mortality|131|1162|10|Place of death. Street number|STNUM_D||I|DeathLocation|address.extension[stnum]|string|-
Mortality|132|1172|10|Place of death. Pre Directional|PREDIR_D||I|DeathLocation|address.extension[predir]|string|-
Mortality|133|1182|50|Place of death. Street name|STNAME_D||I|DeathLocation|address.extension[stname]|string|-
Mortality|134|1232|10|Place of death. Street designator|STDESIG_D||I|DeathLocation|address.extension[stdesig]|string|-
Mortality|135|1242|10|Place of death. Post Directional|POSTDIR_D||I|DeathLocation|address.extension[postdir]|string|-
Mortality|136|1252|28|Place of death. City or Town name|CITYTEXT_D|Valid city/town/location literal|I|DeathLocation|address.city|string|-
Mortality|137|1280|28|Place of death. State name literal|STATETEXT_D|Valid text for U.S. State or Territory or Canadian Province|I|DeathLocation|address.state (expanded from 2 letter code)|string|-
Mortality|138|1308|9|Place of death. Zip code|ZIP9_D|"Valid 5+4 digit zip code; 3 space 3 for Canada; unknown portion left blank; do not include the ""-"""|I|DeathLocation|address.postalCode|string|-
